Image.Name,Wiggle.Index
(RAL_101).(100ppm).(60min).(plate1).(Imidacloprid).(7.1.15)(8-7-201511-12-29AM)TopRight.tif,6.7559
(RAL_101).(100ppm).(60min).(plate2).(Imidacloprid).(7.1.15)(8-7-201511-12-31AM)LowLeft.tif,6.5901
(RAL_101).(100ppm).(60min).(plate2).(Imidacloprid).(7.1.15)(8-7-201511-12-31AM)LowRight.tif,4.5594
(RAL_101).(100ppm).(60min).(plate2).(Imidacloprid).(7.1.15)(8-7-201511-12-31AM)TopLeft.tif,5.4647
(RAL_101).(100ppm).(60min).(plate2).(Imidacloprid).(7.1.15)(8-7-201511-12-31AM)TopRight.tif,8.913
(RAL_101).(25ppm).(0min).(plate1).(Imidacloprid).(1.9.15)(10-16-201510-08-29AM)LowLeft.tif,8.0753
(RAL_101).(25ppm).(0min).(plate1).(Imidacloprid).(1.9.15)(10-16-201510-08-29AM)LowRight.tif,6.9728
(RAL_101).(25ppm).(0min).(plate1).(Imidacloprid).(1.9.15)(10-16-201510-08-29AM)TopLeft.tif,6.647
(RAL_101).(25ppm).(0min).(plate1).(Imidacloprid).(1.9.15)(10-16-201510-08-29AM)TopRight.tif,7.9254
(RAL_101).(25ppm).(0min).(plate1).(Imidacloprid).(13.11.14)(8-7-201511-12-24AM)LowLeft.tif,6.9626
(RAL_101).(25ppm).(0min).(plate1).(Imidacloprid).(13.11.14)(8-7-201511-12-24AM)LowRight.tif,10.2773
(RAL_101).(25ppm).(0min).(plate1).(Imidacloprid).(13.11.14)(8-7-201511-12-24AM)TopLeft.tif,9.0181
(RAL_101).(25ppm).(0min).(plate1).(Imidacloprid).(13.11.14)(8-7-201511-12-24AM)TopRight.tif,7.014
(RAL_101).(25ppm).(60min).(plate1).(Imidacloprid).(1.9.15)(10-16-201510-12-28AM)LowLeft.tif,6.7677
(RAL_101).(25ppm).(60min).(plate1).(Imidacloprid).(1.9.15)(10-16-201510-12-28AM)LowRight.tif,7.8561
(RAL_101).(25ppm).(60min).(plate1).(Imidacloprid).(1.9.15)(10-16-201510-12-28AM)TopLeft.tif,6.5049
(RAL_101).(25ppm).(60min).(plate1).(Imidacloprid).(1.9.15)(10-16-201510-12-28AM)TopRight.tif,9.1458
(RAL_101).(25ppm).(60min).(plate1).(Imidacloprid).(13.11.14)(8-7-201511-12-25AM)LowLeft.tif,5.5676
(RAL_101).(25ppm).(60min).(plate1).(Imidacloprid).(13.11.14)(8-7-201511-12-25AM)LowRight.tif,4.9504
(RAL_101).(25ppm).(60min).(plate1).(Imidacloprid).(13.11.14)(8-7-201511-12-25AM)TopLeft.tif,10.1736
(RAL_101).(25ppm).(60min).(plate1).(Imidacloprid).(13.11.14)(8-7-201511-12-25AM)TopRight.tif,5.4113
(RAL_129).(100ppm).(0min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-42AM)LowLeft.tif,7.7363
(RAL_129).(100ppm).(0min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-42AM)LowRight.tif,8.7315
(RAL_129).(100ppm).(0min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-42AM)TopLeft.tif,8.3533
(RAL_129).(100ppm).(0min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-42AM)TopRight.tif,8.6267
(RAL_129).(100ppm).(60min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-43AM)LowLeft.tif,1.9432
(RAL_129).(100ppm).(60min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-43AM)LowRight.tif,1.4373
(RAL_129).(100ppm).(60min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-43AM)TopLeft.tif,0.832
(RAL_129).(100ppm).(60min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-43AM)TopRight.tif,1.3229
(RAL_129).(25ppm).(0min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-37AM)LowLeft.tif,6.8925
(RAL_129).(25ppm).(0min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-37AM)LowRight.tif,7.7708
(RAL_129).(25ppm).(0min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-37AM)TopLeft.tif,7.9489
(RAL_129).(25ppm).(0min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-37AM)TopRight.tif,7.7672
(RAL_129).(25ppm).(0min).(plate2).(Imidacloprid).(21.6.15)(8-7-201511-12-38AM)LowLeft.tif,8.6346
(RAL_129).(25ppm).(0min).(plate2).(Imidacloprid).(21.6.15)(8-7-201511-12-38AM)LowRight.tif,6.976
(RAL_129).(25ppm).(0min).(plate2).(Imidacloprid).(21.6.15)(8-7-201511-12-38AM)TopLeft.tif,8.5917
(RAL_129).(25ppm).(0min).(plate2).(Imidacloprid).(21.6.15)(8-7-201511-12-38AM)TopRight.tif,7.5022
(RAL_129).(25ppm).(60min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-40AM)LowLeft.tif,4.5461
(RAL_129).(25ppm).(60min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-40AM)LowRight.tif,3.4525
(RAL_129).(25ppm).(60min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-40AM)TopLeft.tif,3.1555
(RAL_129).(25ppm).(60min).(plate2).(Imidacloprid).(20.6.15)(8-7-201511-12-40AM)TopRight.tif,3.119
(RAL_129).(25ppm).(60min).(plate2).(Imidacloprid).(21.6.15)(8-7-201511-12-41AM)LowLeft.tif,5.5682
(RAL_129).(25ppm).(60min).(plate2).(Imidacloprid).(21.6.15)(8-7-201511-12-41AM)LowRight.tif,3.9835
(RAL_129).(25ppm).(60min).(plate2).(Imidacloprid).(21.6.15)(8-7-201511-12-41AM)TopLeft.tif,5.4141
(RAL_129).(25ppm).(60min).(plate2).(Imidacloprid).(21.6.15)(8-7-201511-12-41AM)TopRight.tif,5.6264
(RAL_136).(100ppm).(0min).(plate1).(Imidacloprid).(29.12.14)(8-7-201511-12-49AM)LowLeft.tif,3.3831
(RAL_136).(100ppm).(0min).(plate1).(Imidacloprid).(29.12.14)(8-7-201511-12-49AM)LowRight.tif,4.2337
(RAL_136).(100ppm).(0min).(plate1).(Imidacloprid).(29.12.14)(8-7-201511-12-49AM)TopLeft.tif,4.4032
(RAL_136).(100ppm).(0min).(plate1).(Imidacloprid).(29.12.14)(8-7-201511-12-49AM)TopRight.tif,3.7943
(RAL_136).(100ppm).(0min).(plate2).(Imidacloprid).(29.12.14)(8-7-201511-12-50AM)LowLeft.tif,3.5928
(RAL_136).(100ppm).(0min).(plate2).(Imidacloprid).(29.12.14)(8-7-201511-12-50AM)LowRight.tif,0.1379
(RAL_136).(100ppm).(0min).(plate2).(Imidacloprid).(29.12.14)(8-7-201511-12-50AM)TopLeft.tif,4.0884
(RAL_136).(100ppm).(0min).(plate2).(Imidacloprid).(29.12.14)(8-7-201511-12-50AM)TopRight.tif,3.0374
(RAL_136).(100ppm).(60min).(plate1).(Imidacloprid).(29.12.14)(8-7-201511-12-52AM)LowLeft.tif,1.8298
(RAL_136).(100ppm).(60min).(plate1).(Imidacloprid).(29.12.14)(8-7-201511-12-52AM)LowRight.tif,0.8261
(RAL_136).(100ppm).(60min).(plate1).(Imidacloprid).(29.12.14)(8-7-201511-12-52AM)TopLeft.tif,1.78
(RAL_136).(100ppm).(60min).(plate1).(Imidacloprid).(29.12.14)(8-7-201511-12-52AM)TopRight.tif,2.4163
(RAL_136).(100ppm).(60min).(plate2).(Imidacloprid).(29.12.14)(8-7-201511-12-53AM)LowLeft.tif,1.6415
(RAL_136).(100ppm).(60min).(plate2).(Imidacloprid).(29.12.14)(8-7-201511-12-53AM)LowRight.tif,0.0331
(RAL_136).(100ppm).(60min).(plate2).(Imidacloprid).(29.12.14)(8-7-201511-12-53AM)TopLeft.tif,1.98
(RAL_136).(100ppm).(60min).(plate2).(Imidacloprid).(29.12.14)(8-7-201511-12-53AM)TopRight.tif,1.4721
(RAL_136).(25ppm).(0min).(plate1).(Imidacloprid).(28.12.14)(8-7-201511-12-45AM)LowLeft.tif,4.6245
(RAL_136).(25ppm).(0min).(plate1).(Imidacloprid).(28.12.14)(8-7-201511-12-45AM)LowRight.tif,4.5232
(RAL_136).(25ppm).(0min).(plate1).(Imidacloprid).(28.12.14)(8-7-201511-12-45AM)TopLeft.tif,3.798
(RAL_136).(25ppm).(0min).(plate1).(Imidacloprid).(28.12.14)(8-7-201511-12-45AM)TopRight.tif,4.5989
(RAL_136).(25ppm).(0min).(plate2).(Imidacloprid).(28.12.14)(8-7-201511-12-46AM)LowLeft.tif,3.3064
(RAL_136).(25ppm).(0min).(plate2).(Imidacloprid).(28.12.14)(8-7-201511-12-46AM)LowRight.tif,3.3127
(RAL_136).(25ppm).(0min).(plate2).(Imidacloprid).(28.12.14)(8-7-201511-12-46AM)TopLeft.tif,4.0146
(RAL_136).(25ppm).(0min).(plate2).(Imidacloprid).(28.12.14)(8-7-201511-12-46AM)TopRight.tif,5.1626
(RAL_136).(25ppm).(60min).(plate1).(Imidacloprid).(28.12.14)(8-7-201511-12-47AM)LowLeft.tif,4.2892
(RAL_136).(25ppm).(60min).(plate1).(Imidacloprid).(28.12.14)(8-7-201511-12-47AM)LowRight.tif,2.683
(RAL_136).(25ppm).(60min).(plate1).(Imidacloprid).(28.12.14)(8-7-201511-12-47AM)TopLeft.tif,2.3944
(RAL_136).(25ppm).(60min).(plate1).(Imidacloprid).(28.12.14)(8-7-201511-12-47AM)TopRight.tif,3.373
(RAL_136).(25ppm).(60min).(plate2).(Imidacloprid).(28.12.14)(8-7-201511-12-48AM)LowLeft.tif,4.0633
(RAL_136).(25ppm).(60min).(plate2).(Imidacloprid).(28.12.14)(8-7-201511-12-48AM)LowRight.tif,1.6847
(RAL_136).(25ppm).(60min).(plate2).(Imidacloprid).(28.12.14)(8-7-201511-12-48AM)TopLeft.tif,3.2728
(RAL_136).(25ppm).(60min).(plate2).(Imidacloprid).(28.12.14)(8-7-201511-12-48AM)TopRight.tif,3.152
(RAL_138).(100ppm).(0min).(plate1).(Imidacloprid).(7.1.15)(8-7-201511-12-56AM)LowLeft.tif,8.9167
(RAL_138).(100ppm).(0min).(plate1).(Imidacloprid).(7.1.15)(8-7-201511-12-56AM)LowRight.tif,10.5743
(RAL_138).(100ppm).(0min).(plate1).(Imidacloprid).(7.1.15)(8-7-201511-12-56AM)TopLeft.tif,10.9236
(RAL_138).(100ppm).(0min).(plate1).(Imidacloprid).(7.1.15)(8-7-201511-12-56AM)TopRight.tif,12.0616
(RAL_138).(100ppm).(0min).(plate2).(Imidacloprid).(7.1.15)(8-7-201511-12-57AM)LowLeft.tif,11.852
(RAL_138).(100ppm).(0min).(plate2).(Imidacloprid).(7.1.15)(8-7-201511-12-57AM)LowRight.tif,8.2112
(RAL_138).(100ppm).(0min).(plate2).(Imidacloprid).(7.1.15)(8-7-201511-12-57AM)TopLeft.tif,9.2433
(RAL_138).(100ppm).(0min).(plate2).(Imidacloprid).(7.1.15)(8-7-201511-12-57AM)TopRight.tif,8.2227
(RAL_138).(100ppm).(60min).(plate1).(Imidacloprid).(7.1.15)(8-7-201511-12-59AM)LowLeft.tif,8.1437
(RAL_138).(100ppm).(60min).(plate1).(Imidacloprid).(7.1.15)(8-7-201511-12-59AM)LowRight.tif,6.9587
(RAL_138).(100ppm).(60min).(plate1).(Imidacloprid).(7.1.15)(8-7-201511-12-59AM)TopLeft.tif,4.9317
(RAL_138).(100ppm).(60min).(plate1).(Imidacloprid).(7.1.15)(8-7-201511-12-59AM)TopRight.tif,7.1521
(RAL_138).(100ppm).(60min).(plate2).(Imidacloprid).(7.1.15)(8-7-201511-13-00AM)LowLeft.tif,7.137
(RAL_138).(100ppm).(60min).(plate2).(Imidacloprid).(7.1.15)(8-7-201511-13-00AM)LowRight.tif,7.5411
(RAL_138).(100ppm).(60min).(plate2).(Imidacloprid).(7.1.15)(8-7-201511-13-00AM)TopLeft.tif,7.4969
(RAL_138).(100ppm).(60min).(plate2).(Imidacloprid).(7.1.15)(8-7-201511-13-00AM)TopRight.tif,5.507
(RAL_138).(25ppm).(0min).(plate1).(Imidacloprid).(23.11.14)(8-7-201511-12-54AM)LowLeft.tif,13.2923
(RAL_138).(25ppm).(0min).(plate1).(Imidacloprid).(23.11.14)(8-7-201511-12-54AM)LowRight.tif,13.0857
(RAL_138).(25ppm).(0min).(plate1).(Imidacloprid).(23.11.14)(8-7-201511-12-54AM)TopLeft.tif,13.0646
(RAL_138).(25ppm).(0min).(plate1).(Imidacloprid).(23.11.14)(8-7-201511-12-54AM)TopRight.tif,13.488
(RAL_138).(25ppm).(0min).(plate1).(Imidacloprid).(25.8.15)(10-16-201510-09-09AM)LowLeft.tif,7.6623
(RAL_138).(25ppm).(0min).(plate1).(Imidacloprid).(25.8.15)(10-16-201510-09-09AM)LowRight.tif,10.5882
(RAL_138).(25ppm).(0min).(plate1).(Imidacloprid).(25.8.15)(10-16-201510-09-09AM)TopLeft.tif,9.0848
(RAL_138).(25ppm).(0min).(plate1).(Imidacloprid).(25.8.15)(10-16-201510-09-09AM)TopRight.tif,8.1158
(RAL_138).(25ppm).(60min).(plate1).(Imidacloprid).(23.11.14)(8-7-201511-12-55AM)LowLeft.tif,10.2943
(RAL_138).(25ppm).(60min).(plate1).(Imidacloprid).(23.11.14)(8-7-201511-12-55AM)LowRight.tif,8.667
(RAL_138).(25ppm).(60min).(plate1).(Imidacloprid).(23.11.14)(8-7-201511-12-55AM)TopLeft.tif,6.739
(RAL_138).(25ppm).(60min).(plate1).(Imidacloprid).(23.11.14)(8-7-201511-12-55AM)TopRight.tif,7.1004
(RAL_138).(25ppm).(60min).(plate1).(Imidacloprid).(25.8.15)(10-16-201510-08-55AM)LowLeft.tif,5.3321
(RAL_138).(25ppm).(60min).(plate1).(Imidacloprid).(25.8.15)(10-16-201510-08-55AM)LowRight.tif,5.2529
(RAL_138).(25ppm).(60min).(plate1).(Imidacloprid).(25.8.15)(10-16-201510-08-55AM)TopLeft.tif,5.344
(RAL_138).(25ppm).(60min).(plate1).(Imidacloprid).(25.8.15)(10-16-201510-08-55AM)TopRight.tif,5.8192
(RAL_142).(100ppm).(0min).(plate1).(Imidacloprid).(10.1.15)(8-7-201511-13-06AM)LowLeft.tif,7.3523
(RAL_142).(100ppm).(0min).(plate1).(Imidacloprid).(10.1.15)(8-7-201511-13-06AM)LowRight.tif,8.5397
(RAL_142).(100ppm).(0min).(plate1).(Imidacloprid).(10.1.15)(8-7-201511-13-06AM)TopLeft.tif,9.2861
(RAL_142).(100ppm).(0min).(plate1).(Imidacloprid).(10.1.15)(8-7-201511-13-06AM)TopRight.tif,7.6555
(RAL_142).(100ppm).(0min).(plate2).(Imidacloprid).(10.1.15)(8-7-201511-13-07AM)LowLeft.tif,5.895
(RAL_142).(100ppm).(0min).(plate2).(Imidacloprid).(10.1.15)(8-7-201511-13-07AM)LowRight.tif,6.1169
(RAL_142).(100ppm).(0min).(plate2).(Imidacloprid).(10.1.15)(8-7-201511-13-07AM)TopLeft.tif,5.3368
(RAL_142).(100ppm).(0min).(plate2).(Imidacloprid).(10.1.15)(8-7-201511-13-07AM)TopRight.tif,6.2566
(RAL_142).(100ppm).(60min).(plate1).(Imidacloprid).(10.1.15)(8-7-201511-13-08AM)LowLeft.tif,1.7947
(RAL_142).(100ppm).(60min).(plate1).(Imidacloprid).(10.1.15)(8-7-201511-13-08AM)LowRight.tif,1.9738
(RAL_142).(100ppm).(60min).(plate1).(Imidacloprid).(10.1.15)(8-7-201511-13-08AM)TopLeft.tif,3.2159
(RAL_142).(100ppm).(60min).(plate1).(Imidacloprid).(10.1.15)(8-7-201511-13-08AM)TopRight.tif,2.4112
(RAL_142).(100ppm).(60min).(plate2).(Imidacloprid).(10.1.15)(8-7-201511-13-10AM)LowLeft.tif,2.1136
(RAL_142).(100ppm).(60min).(plate2).(Imidacloprid).(10.1.15)(8-7-201511-13-10AM)LowRight.tif,2.0614
(RAL_142).(100ppm).(60min).(plate2).(Imidacloprid).(10.1.15)(8-7-201511-13-10AM)TopLeft.tif,1.0444
(RAL_142).(100ppm).(60min).(plate2).(Imidacloprid).(10.1.15)(8-7-201511-13-10AM)TopRight.tif,2.6918
(RAL_142).(25ppm).(0min).(plate1).(Imidacloprid).(23.11.14)(8-7-201511-13-01AM)LowLeft.tif,16.3365
(RAL_142).(25ppm).(0min).(plate1).(Imidacloprid).(23.11.14)(8-7-201511-13-01AM)LowRight.tif,11.7577
(RAL_142).(25ppm).(0min).(plate1).(Imidacloprid).(23.11.14)(8-7-201511-13-01AM)TopLeft.tif,12.0173
(RAL_142).(25ppm).(0min).(plate1).(Imidacloprid).(23.11.14)(8-7-201511-13-01AM)TopRight.tif,10.5319
(RAL_142).(25ppm).(0min).(plate2).(Imidacloprid).(23.11.14)(8-7-201511-13-02AM)LowLeft.tif,17.961
(RAL_142).(25ppm).(0min).(plate2).(Imidacloprid).(23.11.14)(8-7-201511-13-02AM)LowRight.tif,16.8137
(RAL_142).(25ppm).(0min).(plate2).(Imidacloprid).(23.11.14)(8-7-201511-13-02AM)TopLeft.tif,12.7126
(RAL_142).(25ppm).(0min).(plate2).(Imidacloprid).(23.11.14)(8-7-201511-13-02AM)TopRight.tif,14.4387
(RAL_142).(25ppm).(60min).(plate1).(Imidacloprid).(23.11.14)(8-7-201511-13-03AM)LowLeft.tif,10.4075
(RAL_142).(25ppm).(60min).(plate1).(Imidacloprid).(23.11.14)(8-7-201511-13-03AM)LowRight.tif,3.8291
(RAL_142).(25ppm).(60min).(plate1).(Imidacloprid).(23.11.14)(8-7-201511-13-03AM)TopLeft.tif,6.9059
(RAL_142).(25ppm).(60min).(plate1).(Imidacloprid).(23.11.14)(8-7-201511-13-03AM)TopRight.tif,4.8855
(RAL_142).(25ppm).(60min).(plate2).(Imidacloprid).(23.11.14)(8-7-201511-13-04AM)LowLeft.tif,5.7735
(RAL_142).(25ppm).(60min).(plate2).(Imidacloprid).(23.11.14)(8-7-201511-13-04AM)LowRight.tif,11.2941
(RAL_142).(25ppm).(60min).(plate2).(Imidacloprid).(23.11.14)(8-7-201511-13-04AM)TopLeft.tif,10.1582
(RAL_142).(25ppm).(60min).(plate2).(Imidacloprid).(23.11.14)(8-7-201511-13-04AM)TopRight.tif,11.3918
(RAL_149).(100ppm).(0min).(plate1).(Imidacloprid).(7.1.15)(8-7-201511-13-17AM)LowLeft.tif,8.567
(RAL_149).(100ppm).(0min).(plate1).(Imidacloprid).(7.1.15)(8-7-201511-13-17AM)LowRight.tif,9.4542
(RAL_149).(100ppm).(0min).(plate1).(Imidacloprid).(7.1.15)(8-7-201511-13-17AM)TopLeft.tif,8.569
(RAL_149).(100ppm).(0min).(plate1).(Imidacloprid).(7.1.15)(8-7-201511-13-17AM)TopRight.tif,7.3747
(RAL_149).(100ppm).(0min).(plate1).(Imidacloprid).(9.1.15)(8-7-201511-13-18AM)LowLeft.tif,4.2374
(RAL_149).(100ppm).(0min).(plate1).(Imidacloprid).(9.1.15)(8-7-201511-13-18AM)LowRight.tif,4.7627
(RAL_149).(100ppm).(0min).(plate1).(Imidacloprid).(9.1.15)(8-7-201511-13-18AM)TopLeft.tif,4.6051
(RAL_149).(100ppm).(0min).(plate1).(Imidacloprid).(9.1.15)(8-7-201511-13-18AM)TopRight.tif,4.5769
(RAL_149).(100ppm).(60min).(plate1).(Imidacloprid).(7.1.15)(8-7-201511-13-19AM)LowLeft.tif,7.9594
(RAL_149).(100ppm).(60min).(plate1).(Imidacloprid).(7.1.15)(8-7-201511-13-19AM)LowRight.tif,5.8683
(RAL_149).(100ppm).(60min).(plate1).(Imidacloprid).(7.1.15)(8-7-201511-13-19AM)TopLeft.tif,4.6775
(RAL_149).(100ppm).(60min).(plate1).(Imidacloprid).(7.1.15)(8-7-201511-13-19AM)TopRight.tif,6.2989
(RAL_149).(100ppm).(60min).(plate1).(Imidacloprid).(9.1.15)(8-7-201511-13-20AM)LowLeft.tif,0.6426
(RAL_149).(100ppm).(60min).(plate1).(Imidacloprid).(9.1.15)(8-7-201511-13-20AM)LowRight.tif,1.4667
(RAL_149).(100ppm).(60min).(plate1).(Imidacloprid).(9.1.15)(8-7-201511-13-20AM)TopLeft.tif,1.1512
(RAL_149).(100ppm).(60min).(plate1).(Imidacloprid).(9.1.15)(8-7-201511-13-20AM)TopRight.tif,1.326
(RAL_149).(25ppm).(0min).(plate1).(Imidacloprid).(25.11.14)(8-7-201511-13-11AM)LowLeft.tif,10.1695
(RAL_149).(25ppm).(0min).(plate1).(Imidacloprid).(25.11.14)(8-7-201511-13-11AM)LowRight.tif,9.7781
(RAL_149).(25ppm).(0min).(plate1).(Imidacloprid).(25.11.14)(8-7-201511-13-11AM)TopLeft.tif,7.5094
(RAL_149).(25ppm).(0min).(plate1).(Imidacloprid).(25.11.14)(8-7-201511-13-11AM)TopRight.tif,8.6724
(RAL_149).(25ppm).(0min).(plate2).(Imidacloprid).(25.11.14)(8-7-201511-13-12AM)LowLeft.tif,9.376
(RAL_149).(25ppm).(0min).(plate2).(Imidacloprid).(25.11.14)(8-7-201511-13-12AM)LowRight.tif,14.3386
(RAL_149).(25ppm).(0min).(plate2).(Imidacloprid).(25.11.14)(8-7-201511-13-12AM)TopLeft.tif,7.5707
(RAL_149).(25ppm).(0min).(plate2).(Imidacloprid).(25.11.14)(8-7-201511-13-12AM)TopRight.tif,9.055
(RAL_149).(25ppm).(60min).(plate1).(Imidacloprid).(25.11.14)(8-7-201511-13-13AM)LowLeft.tif,4.8123
(RAL_149).(25ppm).(60min).(plate1).(Imidacloprid).(25.11.14)(8-7-201511-13-13AM)LowRight.tif,3.7206
(RAL_149).(25ppm).(60min).(plate1).(Imidacloprid).(25.11.14)(8-7-201511-13-13AM)TopLeft.tif,4.1705
(RAL_149).(25ppm).(60min).(plate1).(Imidacloprid).(25.11.14)(8-7-201511-13-13AM)TopRight.tif,3.682
(RAL_149).(25ppm).(60min).(plate2).(Imidacloprid).(25.11.14)(8-7-201511-13-15AM)LowLeft.tif,6.9929
